Time	IDW	26072	26093	26096
1/1/80	0	NaN	0	0
1/2/80	0	NaN	0	0
1/3/80	0	NaN	0	0
1/4/80	0	NaN	0	0
1/5/80	0	NaN	0	0
1/6/80	0	NaN	0	0
1/7/80	0	NaN	0	0
1/8/80	0	NaN	0	0
1/9/80	3.566864453	NaN	1	11.2
1/10/80	0.109546022	NaN	0	0.4
1/11/80	0	NaN	0	0
1/12/80	0	NaN	0	0
1/13/80	0	NaN	0	0
1/14/80	0.164319033	NaN	0	0.6
1/15/80	0	NaN	0	0
1/16/80	0	NaN	0	0
1/17/80	0.082159516	NaN	0	0.3
1/18/80	0	NaN	0	0
1/19/80	0.821595163	NaN	0	3
1/20/80	0	NaN	0	0
1/21/80	2.115379666	NaN	1	5.9
1/22/80	0	NaN	0	0
1/23/80	0	NaN	0	0
1/24/80	0	NaN	0	0
1/25/80	0	NaN	0	0
1/26/80	0	NaN	0	0
1/27/80	0	NaN	0	0
1/28/80	0	NaN	0	0
1/29/80	0	NaN	0	0
1/30/80	0	NaN	0	0
1/31/80	0	NaN	0	0
2/1/80	0	NaN	0	0
2/2/80	0	NaN	0	0
2/3/80	0	NaN	0	0
2/4/80	0	NaN	0	0
2/5/80	0	NaN	0	0
2/6/80	0	NaN	0	0
2/7/80	0	NaN	0	0
2/8/80	0	NaN	0	0
2/9/80	0	NaN	0	0
2/10/80	0	NaN	0	0
2/11/80	0	NaN	0	0
2/12/80	0.468879966	NaN	0.5	0.8
2/13/80	10.6421743	NaN	19	4.2
2/14/80	0.441493461	NaN	0.5	0.7
2/15/80	2.546945004	NaN	0	9.3
2/16/80	1.019919449	NaN	1	1.9
2/17/80	0	NaN	0	0
2/18/80	0.082159516	NaN	0	0.3
2/19/80	2.081374412	NaN	0	7.6
2/20/80	0	NaN	0	0
2/21/80	0	NaN	0	0
2/22/80	0	NaN	0	0
2/23/80	0	NaN	0	0
2/24/80	0	NaN	0	0
2/25/80	0	NaN	0	0
2/26/80	0	NaN	0	0
2/27/80	0	NaN	0	0
2/28/80	0	NaN	0	0
2/29/80	0	NaN	0	0
3/1/80	0	NaN	0	0
3/2/80	0	NaN	0	0
3/3/80	0	NaN	0	0
3/4/80	0	NaN	0	0
3/5/80	0	NaN	0	0
3/6/80	0	NaN	0	0
3/7/80	0	NaN	0	0
3/8/80	0	NaN	0	0
3/9/80	0	NaN	0	0
3/10/80	5.006598095	NaN	7.5	4.6
3/11/80	0.999151692	NaN	2	0
3/12/80	0	NaN	0	0
3/13/80	0	NaN	0	0
3/14/80	0	NaN	0	0
3/15/80	0	NaN	0	0
3/16/80	0	NaN	0	0
3/17/80	0	NaN	0	0
3/18/80	2.848196564	NaN	0	10.4
3/19/80	0	NaN	0	0
3/20/80	0	NaN	0	0
3/21/80	0	NaN	0	0
3/22/80	0.054773011	NaN	0	0.2
3/23/80	0	NaN	0	0
3/24/80	0	NaN	0	0
3/25/80	0	NaN	0	0
3/26/80	4.616568271	NaN	6.5	5
3/27/80	0	NaN	0	0
3/28/80	0	NaN	0	0
3/29/80	0	NaN	0	0
3/30/80	0	NaN	0	0
3/31/80	0	NaN	0	0
4/1/80	0.082159516	NaN	0	0.3
4/2/80	0	NaN	0	0
4/3/80	0	NaN	0	0
4/4/80	0	NaN	0	0
4/5/80	0	NaN	0	0
4/6/80	0	NaN	0	0
4/7/80	0	NaN	0	0
4/8/80	0	NaN	0	0
4/9/80	0	NaN	0	0
4/10/80	0	NaN	0	0
4/11/80	0	NaN	0	0
4/12/80	0	NaN	0	0
4/13/80	0	NaN	0	0
4/14/80	0	NaN	0	0
4/15/80	0	NaN	0	0
4/16/80	0	NaN	0	0
4/17/80	0	NaN	0	0
4/18/80	0	NaN	0	0
4/19/80	0	NaN	0	0
4/20/80	0	NaN	0	0
4/21/80	0	NaN	0	0
4/22/80	0	NaN	0	0
4/23/80	0	NaN	0	0
4/24/80	0	NaN	0	0
4/25/80	0	NaN	0	0
4/26/80	0	NaN	0	0
4/27/80	0	NaN	0	0
4/28/80	0.164319033	NaN	0	0.6
4/29/80	1.095460217	NaN	0	4
4/30/80	0	NaN	0	0
5/1/80	0	NaN	0	0
5/2/80	0	NaN	0	0
5/3/80	0	NaN	0	0
5/4/80	0	NaN	0	0
5/5/80	0	NaN	0	0
5/6/80	0	NaN	0	0
5/7/80	0	NaN	0	0
5/8/80	0	NaN	0	0
5/9/80	0	NaN	0	0
5/10/80	0	NaN	0	0
5/11/80	0	NaN	0	0
5/12/80	0	NaN	0	0
5/13/80	0	NaN	0	0
5/14/80	0.65727613	NaN	0	2.4
5/15/80	0	NaN	0	0
5/16/80	0	NaN	0	0
5/17/80	0	NaN	0	0
5/18/80	0	NaN	0	0
5/19/80	0	NaN	0	0
5/20/80	0	NaN	0	0
5/21/80	0	NaN	0	0
5/22/80	0	NaN	0	0
5/23/80	0	NaN	0	0
5/24/80	0	NaN	0	0
5/25/80	0	NaN	0	0
5/26/80	0	NaN	0	0
5/27/80	0	NaN	0	0
5/28/80	0	NaN	0	0
5/29/80	0	NaN	0	0
5/30/80	0	NaN	0	0
5/31/80	0	NaN	0	0
6/1/80	0	NaN	0	0
6/2/80	0	NaN	0	0
6/3/80	0	NaN	0	0
6/4/80	0	NaN	0	0
6/5/80	0	NaN	0	0
6/6/80	0	NaN	0	0
6/7/80	0	NaN	0	0
6/8/80	0	NaN	0	0
6/9/80	0	NaN	0	0
6/10/80	0	NaN	0	0
6/11/80	0	NaN	0	0
6/12/80	0	NaN	0	0
6/13/80	0	NaN	0	0
6/14/80	0	NaN	0	0
6/15/80	0	NaN	0	0
6/16/80	0	NaN	0	0
